Name,Gender,Region
Aimée,w,lateinisch 
Alexandra,w,suedeuropaeisch 
Alina,w,nordisch osteuropaeisch 
Amelie,w,osteuropaeisch 
Amy,w,westeuropaeisch 
Anabella,w,suedeuropaeisch 
Andrea,w,suedeuropaeisch 
Anja,w,hebraeisch 
Ann,w,hebraeisch 
Anna,w,hebraeisch 
Annemaria,w,hebraeisch 
Annette,w,westeuropaeisch 
Anouk,w,hebraeisch 
Asia,w,westeuropaeisch 
Aurelia,w,suedeuropaeisch 
Ava,w,hebraeisch 
Babette,w,lateinisch 
Barbara,w,suedeuropaeisch 
Bea,w,suedeuropaeisch 
Beatrix,w,suedeuropaeisch 
Belina,w,hebraeisch 
Bella,w,suedeuropaeisch 
Benita,w,lateinisch 
Bente,w,lateinisch 
Berenike,w,suedeuropaeisch 
Berit,w,nordisch 
Betta,w,hebraeisch 
Bettina,w,hebraeisch 
Bianca,w,suedeuropaeisch 
Birgit,w,nordisch 
Birte,w,nordisch 
Blanka,w,suedeuropaeisch 
Bonnie,w,nordisch 
Breanna,w,nordisch 
Brigitte,w,nordisch 
Caitlyn,w,suedeuropaeisch 
Carina,w,suedeuropaeisch 
Carla,w,westeuropaeisch 
Carline,w,westeuropaeisch 
Carolin,w,lateinisch 
Catalina,w,suedeuropaeisch 
Cecilia,w,suedeuropaeisch 
Celia,w,lateinisch 
Celina,w,suedeuropaeisch 
Chantal,w,westeuropaeisch 
Charlene,w,westeuropaeisch 
Charlotte,w,westeuropaeisch 
Chiara,w,lateinisch 
Christin,w,lateinisch 
Christina,w,suedeuropaeisch 
Ciara,w,westeuropaeisch 
Clara,w,suedeuropaeisch 
Clarissa,w,lateinisch 
Cleo,w,suedeuropaeisch 
Coralie,w,lateinisch 
Corinna,w,suedeuropaeisch 
Cosima,w,suedeuropaeisch 
Cressida,w,suedeuropaeisch 
Curly,w,westeuropaeisch 
Dajana,w,lateinisch 
Dalika,w,asiatisch 
Dana,w,nordisch 
Daniela,w,hebraeisch 
Danika,w,osteuropaeisch 
